,CustomerID,Sex,Age,Profession,CityType,YearsInCity,HaveChildren,ValueTier,TotalSpending,High,Low,Mid,HighPerc,MidPerc,LowPerc,10_11_N,10_13_16,10_13_N,10_14_16,10_15_16,10_15_N,10_16_N,10_N_N,11_13_16,11_13_N,11_14_N,11_15_16,11_15_N,11_16_N,11_N_N,12_14_17,12_14_N,12_17_N,12_N_N,13_14_16,13_15_16,13_15_N,13_16_N,13_N_N,14_16_N,14_17_N,14_18_N,14_N_N,15_16_17,15_16_N,15_17_N,15_N_N,16_N_N,17_N_N,18_N_N,1_11_15,1_11_16,1_11_N,1_13_14,1_13_15,1_13_16,1_14_15,1_14_16,1_14_17,1_14_N,1_15_16,1_15_17,1_15_18,1_15_N,1_16_17,1_16_N,1_17_N,1_18_N,1_2_11,1_2_13,1_2_14,1_2_15,1_2_16,1_2_17,1_2_18,1_2_3,1_2_4,1_2_5,1_2_6,1_2_8,1_2_9,1_2_N,1_3_4,1_4_9,1_4_N,1_5_12,1_5_14,1_5_15,1_5_17,1_5_18,1_5_6,1_5_8,1_5_9,1_5_N,1_6_13,1_6_14,1_6_15,1_6_16,1_6_8,1_6_N,1_8_13,1_8_14,1_8_15,1_8_16,1_8_17,1_8_18,1_8_9,1_8_N,1_N_N,2_12_14,2_12_N,2_14_15,2_14_N,2_15_16,2_15_N,2_16_N,2_17_N,2_18_N,2_3_10,2_3_15,2_3_4,2_4_12,2_4_14,2_4_15,2_4_5,2_4_8,2_4_9,2_4_N,2_5_12,2_5_14,2_5_15,2_5_8,2_5_N,2_6_15,2_8_14,2_8_16,2_8_18,2_8_N,2_9_14,2_9_15,2_9_N,2_N_N,3_12_N,3_13_N,3_15_N,3_4_12,3_4_5,3_4_8,3_4_9,3_4_N,3_5_16,3_5_N,3_N_N,4_11_N,4_12_N,4_15_N,4_5_12,4_5_13,4_5_15,4_5_18,4_5_8,4_5_9,4_5_N,4_8_9,4_8_N,4_9_12,4_9_15,4_9_N,4_N_N,5_10_16,5_11_12,5_11_15,5_11_16,5_11_N,5_12_14,5_12_N,5_13_14,5_13_16,5_13_N,5_14_15,5_14_16,5_14_17,5_14_N,5_15_18,5_15_N,5_16_N,5_17_N,5_18_N,5_6_11,5_6_13,5_6_16,5_6_8,5_6_9,5_6_N,5_7_N,5_8_12,5_8_14,5_8_15,5_8_16,5_8_17,5_8_18,5_8_N,5_9_14,5_9_N,5_N_N,6_10_13,6_10_16,6_10_N,6_11_13,6_11_16,6_11_N,6_13_N,6_16_N,6_8_10,6_8_13,6_8_14,6_8_15,6_8_16,6_8_N,6_N_N,7_12_N,7_17_N,7_8_N,7_N_N,8_10_16,8_10_N,8_11_16,8_11_N,8_12_17,8_12_N,8_13_14,8_13_15,8_13_16,8_13_N,8_14_15,8_14_16,8_14_17,8_14_18,8_14_N,8_15_16,8_15_N,8_16_17,8_16_N,8_17_N,8_18_N,8_9_14,8_9_N,8_N_N,9_15_N,9_N_N,cluster
0,1000001,F,0-17,10,A,2,0,Low,333481,173368,9806,150307,0.519873695952693,0.45072133045061036,0.029404973596696662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,0,3137,0,0,0,0,0,0,0,0,11011,0,0,0,0,16446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11769,0,0,15416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15200,0,0,0,0,0,0,0,0,19219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57085,24550,0,0,29854,0,0,8370,0,0,0,0,0,0,0,0,0,0,2763,2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6910,0,0,0,0,0,0,0,0,0,0,0,0,16622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9938,0,0,0,59604,0,0,Loyal
1,1000002,M,55+,16,C,4+,0,Mid,810353,519534,5144,285675,0.6411205980603515,0.3525315510647829,0.006347850874865645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11813,0,0,11426,0,0,0,0,11915,0,15256,0,0,27014,0,94018,0,0,0,15699,30616,11577,27530,0,0,0,0,0,0,19033,11788,0,0,0,0,0,0,0,0,0,19446,0,0,0,11777,0,0,0,15450,0,0,0,0,11875,27731,0,0,27893,11812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5144,0,0,0,0,0,0,0,8644,7146,0,0,0,0,0,0,0,0,0,0,0,0,0,10676,0,0,6869,6968,17460,0,0,17583,0,0,0,0,0,0,0,0,15952,0,0,0,0,74043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9899,0,8017,0,16001,0,17865,6187,0,0,0,152360,0,0,Loyal
2,1000003,M,26-35,15,A,3,0,Low,341635,268538,3854,69243,0.7860377303262254,0.2026812241134544,0.011281045560320224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27109,0,31022,15683,19187,0,0,0,0,23265,0,15292,0,65615,0,0,0,0,0,0,0,19302,0,0,0,12103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15996,0,0,0,0,13058,0,0,0,0,0,0,0,0,0,10906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3646,0,0,0,0,8885,0,0,0,0,0,0,0,0,0,0,0,0,0,13868,0,0,37027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5817,0,0,0,0,0,0,0,Quality
3,1000004,M,46-50,7,B,2,1,Low,205987,205987,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15485,0,0,0,0,0,0,0,0,0,22969,0,0,15854,0,15686,0,0,15499,0,11765,15852,0,0,0,0,0,0,0,0,19693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19128,0,0,0,0,0,0,0,0,19215,0,0,15853,18988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quality
4,1000005,M,26-35,20,A,1,1,Mid,821001,425732,22497,372772,0.5185523525549908,0.454045731978402,0.027401915466607227,0,0,0,0,0,0,0,0,4653,0,0,0,0,0,5895,0,0,0,0,0,0,0,0,0,0,0,0,11085,0,17374,0,0,25195,0,0,0,0,0,0,0,0,0,22921,0,0,19692,0,0,20138,0,48111,0,0,0,0,0,4518,0,0,0,0,0,15665,0,0,0,11603,0,0,0,0,0,0,0,0,8162,0,0,0,0,12037,0,0,0,0,0,0,0,0,8205,0,0,11818,11531,0,0,0,0,0,0,0,0,0,12841,0,0,0,0,0,0,13291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10851,0,0,0,0,2870,0,0,0,2739,0,2137,0,0,0,0,0,0,0,0,0,0,7192,0,0,0,0,0,0,0,0,14195,0,0,0,0,0,0,0,0,0,0,5259,0,0,0,0,0,0,0,36798,0,0,52980,0,0,0,0,0,4240,0,8232,0,0,0,0,16244,20603,16421,0,0,0,74954,0,0,0,0,0,4004,0,0,4263,7913,0,6181,0,0,28140,0,7803,0,20245,7850,0,0,0,174152,0,0,Loyal
5,1000006,F,51-55,9,A,1,0,Low,379450,190359,31559,157532,0.5016708393727763,0.4151587824482804,0.08317037817894321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3478,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9183,0,0,0,0,0,0,0,27246,0,15453,0,0,0,0,0,0,0,0,0,0,11718,0,0,0,0,0,0,19538,0,0,0,0,0,0,0,0,0,0,0,15236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19426,0,0,15522,0,0,0,0,0,0,0,0,0,0,0,0,13055,0,0,0,9991,0,0,0,0,0,0,0,0,0,12951,0,0,0,0,0,0,0,0,0,0,37884,21430,0,0,0,0,0,0,0,0,0,2782,0,0,0,2769,0,4910,0,0,2111,0,0,0,0,0,0,0,0,0,5242,0,0,0,0,0,0,51065,0,0,0,0,0,0,0,0,0,0,0,0,0,10671,0,0,0,0,2033,0,0,6914,0,0,0,0,0,0,0,0,0,0,0,0,0,8210,0,0,0,0,0,0,0,0,0,0,9974,0,0,0,0,0,0,8102,0,21548,0,0,0,0,0,0,0,0,9924,0,0,Loyal
6,1000007,M,36-45,1,B,1,1,Low,234427,220034,0,14393,0.9386034885060168,0.0613965114939832,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27537,0,0,34316,0,0,26653,0,34833,0,0,0,0,0,34412,19422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15553,0,0,0,0,0,15628,0,0,11680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quality
7,1000008,M,26-35,12,C,4+,1,Mid,796545,420990,10852,364703,0.5285200459484398,0.45785611610141297,0.013623837950147199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34623,0,0,46805,0,0,0,0,27865,0,0,0,0,15250,38774,12009,0,0,0,0,15691,0,0,0,0,0,0,0,0,0,19614,0,0,0,0,0,0,0,35327,0,0,0,19595,0,11927,0,11554,19658,0,0,30944,7714,0,0,0,0,0,0,0,0,0,0,15941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31924,0,0,0,0,0,0,0,0,0,0,0,0,16261,0,0,19944,15943,0,0,0,0,0,0,0,0,10009,0,7869,0,0,0,8125,0,0,15920,0,73613,9774,0,0,27389,7929,0,0,0,161328,0,0,Loyal
8,1000009,M,26-35,17,C,0,0,Mid,593960,374777,0,219183,0.630980200686915,0.36901979931308504,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17387,0,0,29181,0,0,0,0,0,0,0,0,0,11775,0,8158,0,0,0,0,0,34851,0,0,0,0,0,15591,8017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12115,0,15397,0,12090,0,0,0,0,31579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32416,0,0,10978,10554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12154,0,0,0,0,0,0,0,0,0,5388,10508,0,0,5391,0,0,0,0,14245,0,0,3451,16059,0,0,0,0,0,0,53264,0,0,0,0,16471,32998,0,0,0,0,16874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6096,0,9732,0,36142,19679,0,0,0,85419,0,0,Loyal
9,1000010,F,36-45,1,B,4+,1,High,2169486,1138022,140742,890722,0.5245583516095518,0.41056821754092904,0.0648734308495192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4574,0,3513,0,6644,0,0,0,768,0,0,0,0,22840,0,0,0,0,0,5133,0,42665,15573,11758,0,0,0,0,0,0,15171,58110,15499,0,65890,0,0,0,0,0,15247,15459,132200,0,0,0,0,11758,81786,0,0,73918,35361,0,0,0,0,0,0,0,15203,11810,0,0,0,0,0,0,0,23334,0,0,0,0,0,15848,0,15225,11813,15687,0,12782,0,0,0,0,0,0,0,0,0,20101,0,0,12910,29205,26032,75174,9625,0,0,16214,0,15985,0,16216,0,0,0,0,13246,0,9937,0,0,0,65151,59558,7959,13488,41129,0,0,0,0,0,0,5664,0,0,0,0,2787,4292,0,2056,0,0,0,2741,0,15861,0,0,21113,8775,14098,0,8787,0,0,15503,0,75215,0,26492,0,0,6864,0,0,0,0,0,7130,0,0,0,0,0,5441,8780,89938,0,17556,265273,12642,0,0,0,0,0,0,0,0,0,0,12220,0,0,0,0,0,0,20957,0,0,0,0,0,0,0,6034,0,0,0,0,12060,0,55784,0,35631,0,7872,13906,0,0,0,200515,0,0,Loyal
